gflux,rflux
2.147945,6.569293
0.3448232,2.148294
0.1861076,1.649506
0.1887705,0.3113975
0.09181286,0.4358265
1.003049,1.386675
-0.03719512,1.010595
0.009338738,0.5653507
1.196518,2.695999
1.104121,2.913207
0.5815026,1.28918
0.7815396,1.088723
1.762267,1.716511
3.775647,10.67423
1.091229,3.270179
-0.0001427673,2.574586
1.340736,0.6146825
0.8597746,1.59418
0.3168128,0.5335136
0.4305359,1.372239
0.5417259,0.6744608
0.2932457,0.5954849
0.5189913,2.06219
1.241128,1.894589
1.159422,1.514995
0.7030737,0.9752446
1.057308,4.167477
0.1231941,0.377552
0.8500777,0.8399634
0.9560928,2.87891
0.297504,1.438034
0.2691348,1.949373
6.163959,13.20172
0.5527002,2.628121
0.1354835,1.397831
